사업대분류명,사업중분류명,사업소분류명,사업명,사업내용,이용대상내용,이용방법내용,운영시간내용,문의처내용,대상아동나이,대상관심,대상지역,자세히보기사이트주소,신청하기사이트주소
육아,일자리지원, ,우먼업 고용장려금,인턴을 정규채용한 기업에 300만원 지급,인턴십 참여기업,공고문에 따른 접수,,1660-3040,연령무관,육아 - 일자리지원,서울시,https://www.seoulwomanup.or.kr,.
건강힐링,임산부 지원 강화,35세 이상 산모 검사비 지원,35세 이상 임산부 외래 진료 및 검사비 지원,"의료비 부담이 큰 35세 이상 산모 대상 외래진료 및 검사에 소요되는 비용을 소득과 무관하게 최대 50만원까지 지원 (24년 3월 사회보장제도 신설 협의 완료, 24년 8월까지 사업추진을 위한  사전절차 진행 예정으로 구체적인 시행시기, 소급지원 등에 대한 내용은 추후 안내 예정)",서울시 거주 35세 이상 산모,외래 진료 및 검사 후 서류 첨부하여 몽땅정보만능키에서 신청,,02-120,임신?출산,"임신?출산 준비,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
육아,놀이?외출지원, ,가족배려주차장,서울시 공공?민간주차장(30면 아상) 10% 이상을 가족배려주차장으로 조성 약자 동반 가족을 배려하는 新 주차문화 조성,① 임산부 또는 임산부를 동반한 사람 ② 6세 미만 영유아 동반 차량  ③ 고령 등으로 일상생활에서 이동이 불편한 사람 또는 이를 동반한 사람,가족배려주차장 이용대상 우선 주차,각 공공?민간주차장 운영시간과 동일,서울시 주차계획과(02-2133-2358),0세 ~ 6세,육아 - 놀이?외출지원,서울시,.,.
건강힐링,영유아 건강한발달 지원,육아전문가 양육 코칭 지원,육아전문가 양육코칭,육아전문가의 3단계 맞춤형 육아 솔루션 지원 - 1단계 : 전문가 포럼 - 2단계 1:5 소그룹 코칭 - 3단계 : 1:1 맞춤형 코칭,예비 양육자 및 만0-6세 자녀를 양육하는 서울시민,사전신청,-,서울시육아종합지원센터(02-772-9814~9),"임신?출산,0~2세,3~5세,6~9세","보육?돌봄,교육","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,https://sscccoaching.creatorlink.net/
양육,일자리지원, ,서울형 강소기업 지원,"① 청년 정규직 채용 시, 사내복지 개선 등 근무환경개선금 최대 45백만원 지원   ② 육아휴직자 대체 청년인턴에 최대 23개월 인건비 지원으로 업무공백 해소   ③ 육아친화 및 일?생활 균형 조직문화 조성을 위한 교육?컨설팅 지원   ④ 마음챙김, 스트레스 관리로 신입사원 번아웃 예방을 위한 청년성장 프로그램 제공","서울 소재 중소기업 중 공공기관 인증을 받은 기업 대상으로 청년일자리 창출 확대 및 일 생활 균형 조직문화, 고용안정성, 복지혜택이 우수하다고 서울시가 선정한 기업",모집공고 → 신청 → 서류심사 → 현장실사 → 면접심사 → 최종선정,,서울특별시 일자리정책과(02-2133-5438),연령무관,양육 - 일자리지원,서울시,http://www.seouljobnow.co.kr/,http://www.seouljobnow.co.kr/
출산,수유지원, ,서울맘 찾아가는 행복 수유 지원,1:1 찾아가는 모유수유 전문가 관리 서비스 지원,서울시 거주 출산 후 8주 이내 모유수유 희망 모든 임산부,서울시 임신출산정보센터(사이트) 온라인 신청,,주소지 보건소 사업담당,0세 ~ 1세,출산 - 수유지원,서울시,https://seoul-agi.seoul.go.kr/breast-feeding,https://seoul-agi.seoul.go.kr/breast-feeding
육아,놀이?외출지원, ,서울키즈 오케이존,"아이와 양육자가 환영받고 편하게 외식할 수 있도록 음식점 및 카페 등을 대상으로‘서울키즈 오케이존’ 지정 (대상업소들의 자율적 동참) 지정업체는 아이를 환영하는 가게 라는 것을 알 수 있도록 식별마크 부착 및 아이의자, 아이식기 등 식사 도움용품 구비",영유아 및 아이 동반 양육자,서울키즈 오케이존 찾기: 서울키즈오케이존 소개 페이지 및 스마트서울맵을 통해 검색 후 방문,,서울시 저출생담당관(02-2133-5030),연령무관,육아 - 놀이?외출지원,서울시,https://umppa.seoul.go.kr/hmpg/kiok/list/kiokListPage.do,https://umppa.seoul.go.kr/hmpg/kiok/appl/applAgreRegistForm.do
일생활균형,일생활 균형문화 확산,서울형 新일?생활 균형 3종 패키지,서울형 新일?생활 균형 3종 패키지,양육 친화 기업문화 조성을 위해 서울형 新 일?생활 균형 3종 패키지를 시행함으로써 초저출생 위기 극복 및 일?생활 균형 문화 확산 ? 배우자 출산휴가 의무제(10일) ? 육아휴직 사용 활성화 ? 육아기 근로시간 단축 사용 권고제 (연 1회),"서울시 공무원, 투자?출연기관 및 민간기업(서울형 강소기업 중심) 임직원",기관별 관련규정 개정 및 시행,,서울시 양성평등담당관(02-2133-5038),"임신?출산,0~2세,3~5세,6~9세,10세 이상",일생활균형,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
편한외출,양육 친화 외출 환경 조성,,서울키즈오케이존,"아이와 양육자가 환영받고 편하게 외식할 수 있도록 음식점 및 카페 등을 대상으로‘서울키즈 오케이존’ 지정(대상업소들의 자율적 동참) 지정업체는 아이를 환영하는 가게 라는 것을 알 수 있도록 식별마크 부착 및 아이의자, 아이식기 등 식사 도움용품 구비",영유아 및 아이 동반 양육자,서울키즈 오케이존 찾기: 스마트서울맵을 통해 검색 후 방문,,서울시 저출생담당관(02-2133-5023),"0~2세,3~5세,6~9세,10세 이상","외출,문화","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://map.seoul.go.kr/smgis2/short/6O42j,.
편한외출,엄빠?아이가 행복한 놀이 환경 조성,엄빠행복 문화 프로젝트,엄마 북(Book)돋움 사업,"엄마아빠책 1권, 우리아이책 2권, 시 육아정책정보를 담은 북돋움 책상자 배송",임산부(임신 3개월~출산 후 3개월),임산부교통비지원 시스템에서 온라인 신청,-,"서울도서관(2133-0210, 0227)",임신?출산,"문화,교육","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://lib.seoul.go.kr/rwww/html/ko/bookUp.jsp,https://www.seoulmomcare.com/main/main.do
