변수명,변수 설명,변수값 설명
ID,데이터 ID,
TYPE,조사유형(조사구/신축아파트/주택외거처),1. 조사구
,,2. 신축아파트
,,3. 주택외거처
TYPE1,"조사구 구분(일반조사구, 아파트 조사구)",1. 일반조사구
,,2. 아파트 조사구
SIDO,시도,11. 서울특별시
,,21. 부산광역시
,,22. 대구광역시
,,23. 인천광역시
,,24. 광주광역시
,,25. 대전광역시
,,26. 울산광역시
,,29. 세종특별자치시
,,31. 경기도
,,32. 강원도
,,33. 충청북도
,,34. 충청남도
,,35. 전라북도
,,36. 전라남도
,,37. 경상북도
,,38. 경상남도
,,39. 제주특별자치도
SIGUNGU,시군구,1. 강남구
,,2. 강동구
,,3. 강북구
,,4. 강서구
,,5. 관악구
,,6. 광진구
,,7. 구로구
,,8. 금천구
,,9. 노원구
,,10. 도봉구
,,11. 동대문구
,,12. 동작구
,,13. 마포구
,,14. 서대문구
,,15. 서초구
,,16. 성동구
,,17. 성북구
,,18. 송파구
,,19. 양천구
,,20. 영등포구
,,21. 용산구
,,22. 은평구
,,23. 종로구
,,24. 중구
,,25. 중랑구
Q1,문1. 귀하는 가구주나 가구주의 배우자이십니까?,1. 가구주
,,2. 가구주의 배우자
,,3. 기타
Q2_A,문2. 귀 댁의 가구주는 몇 년도부터 가구주가 되셨습니까?_년도,
Q3_A,"문3. 귀 댁의 가구주께서는 가구주가 된 이후, 언제부터 현재주택에 살았습니까?_년도",
Q4,문4. 귀 댁의 주택 유형은 무엇입니까?,1. 일반단독주택
,,2. 다가구단독주택
,,3. 영업겸용단독주택
,,4. 아파트
,,5. 연립주택
,,6. 다세대주택
,,7. 비거주용건물(상가ㆍ공장ㆍ여관 등)내 주택
,,8. 오피스텔
,,9. 고시원
,,10. 판잣집ㆍ비닐하우스ㆍ컨테이너ㆍ움막
,,11. 기타
Q4_O,(TEXT) 문4. (기타오픈) 귀 댁의 주택 유형은 무엇입니까?,
Q6,문6. 귀 댁의 주택 내 위치는 어디에 해당됩니까?,1. 지상
,,2. 반지하
,,3. 지하
,,4. 옥상(옥탑)
Q7,문7. 귀 댁의 점유형태는 어디에 해당됩니까?,1. 자가
,,2. 전세
,,3. 보증금 있는 월세
,,4. 보증금 없는 월세
,,5. 사글세 또는 연세
,,6. 일세
,,7. 무상
Q8,문8. 귀 댁은 가구주께서 가구주가 된 이후에 지금까지 한 번이라도 자가주택을 마련한 적이 있습니까?,1. 예
,,2. 아니오
Q8_1_A,문8-1. 귀 댁의 가구주는 가구주가 된 이후에 언제 생애최초로 주택을 마련 하셨습니까?_년도,
Q8_2,문8-2. 현재 거주하고 있는 주택이 생애최초로 마련한 주택입니까?,1. 예
,,2. 아니오
Q8_3,문8-3. 가구주가 된 이후 생애최초 주택을 마련하기까지 몇 년이나 걸렸습니까?_년,9999999. 모름/무응답
Q8_3_N2,문8-3. 가구주가 된 이후 생애최초 주택을 마련하기까지 몇 년이나 걸렸습니까?_개월,9999999. 모름/무응답
Q8_3_N3,문8-3. 가구주가 된 이후 생애최초 주택을 마련하기까지 몇 년이나 걸렸습니까?_총 개월,9999999. 모름/무응답
Q8_4_A,문8-4. 생애최초로 마련한 주택 면적은 얼마입니까?_평수,9999999. 모름/무응답
Q8_4_B,문8-4. 생애최초로 마련한 주택 면적은 얼마입니까?_㎡,9999999. 모름/무응답
Q9,문9. 귀 가구는 지금 사는 곳 이외에 가구주나 가구원의 이름으로 보유한 주택이 있습니까?,1. 있다
,,2. 없다
Q9_1,문9-1. 가구주가 된 이후 무주택 기간은 얼마나 되십니까?_년,
Q9_1_N2,문9-1. 가구주가 된 이후 무주택 기간은 얼마나 되십니까?_개월,
Q9_1_N3,문9-1. 가구주가 된 이후 무주택 기간은 얼마나 되십니까?_총 개월,
Q10_A,문10. 귀 댁의 가구주께서는 가구주가 된 이후 현재 주택을 언제 마련하셨습니까?_년도,
